Year,European Union,Latin America & Caribbean,Middle East & North Africa,North America,South Asia,Sub-Saharan Africa
2001,9.843701265,5.926561094,5.46575856,8.362331299,8.410353537,14.75790904
2002,9.937815795,5.89440897,5.407520557,8.362035409,8.271594198,14.46311754
2003,10.1173657,5.872449727,5.354576706,8.27193515,8.141985178,14.11993662
2004,9.657307709,5.860611225,5.298943663,8.091555094,8.019082111,13.73215226
2005,9.849321447,5.857654518,5.249619852,8.181737065,7.900377625,13.30731461
2006,9.675890563,5.859887115,5.199419204,7.991567608,7.782988307,12.85358286
2007,9.759568192,5.872183558,5.15532819,7.911231803,7.664939223,12.38310155
2008,9.81889803,5.890469398,5.112159335,8.011064921,7.547981721,11.91290738
2009,9.847344279,5.914132834,5.077803498,7.820846556,7.432747017,11.45337629
2010,9.840067867,5.942041898,5.054125794,7.896338362,7.324815791,11.01425932
2011,9.81314154,5.975443861,5.037986806,7.976154648,7.226914646,10.60317779
2012,10.06856008,6.013877494,5.021392657,8.001937507,7.145094662,10.21980962
2013,10.01046246,6.056136581,5.0017984,8.113347462,7.081162301,9.865575119
2014,9.851926193,6.105476326,4.983831932,8.143054218,7.036422937,9.543254109
2015,10.39815997,6.152441589,4.967195239,8.335657431,7.009886947,9.254830478
2016,10.17905417,6.209581751,4.945080917,8.383048833,6.999554321,9.002742659
2017,10.46311494,6.265302718,4.926017453,8.522881204,7.000864062,8.781862292
2018,10.51226443,6.320984202,4.904494035,8.578337459,7.00944163,8.589038751
2019,10.39076923,6.38157924,4.890649101,8.586958094,7.023821061,8.419961247